Kingdom Phylum Class Order Family Genus Species Kingdom.Confidence Phylum.Confidence Class.Confidence Order.Confidence Family.Confidence Genus.Confidence
02bb9662aa72c434ec9b7ab39b443d40 Bacteria Acidobacteriota Vicinamibacteria Subgroup_17 NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
53f35ea075eaadb8bb881ce05f819629 Bacteria Acidobacteriota Vicinamibacteria Subgroup_17 NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
607134bc2e1149b196ebfca3dfd07b8f Bacteria Acidobacteriota Vicinamibacteria Subgroup_17 NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
9d37fe245efc42c50c29dbac979038d0 Bacteria Acidobacteriota Vicinamibacteria Subgroup_17 NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
4d7789f90b7822ac60da8d8077973306 Bacteria Acidobacteriota Vicinamibacteria Subgroup_17 NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
5e1dfd934eaf659d88875a810901d52a Bacteria Acidobacteriota Vicinamibacteria Subgroup_17 NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
2d335174d81df21c4e930986b14784d0 Bacteria Acidobacteriota Vicinamibacteria Subgroup_17 NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
c76c6b4a23a140b1a6cc1af561c09a33 Bacteria Acidobacteriota Vicinamibacteria Subgroup_17 NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
12838e68f7f4fb6be646bd86d62b20dd Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 0.61 0.58 0.58 0.33 0.33
c01e401bcd4ce1604500264a3442232e Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 1.00
8cd4e63553153bfd45b26661c9378bf4 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 0.98 0.98 0.98 0.93 0.77
3b726c6fa748d2a5aa2f764bd982c557 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 0.89 0.87
1eff64f6f813992f4e19acc99ba3199b Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 1.00
9111b761da48307ffee3c00cfb428d3d Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 0.92 0.92
1ec867096e7d1195275aba48ad763c1b Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 1.00
de31bb03f3d7398695aa04e993a77e12 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 1.00
6d9c5c1319fa9696c64f03eca535d0c9 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 0.99 0.99
e72a4f1da8007426cc9234675b1ec23b Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 1.00
912e9b29f7857295fbcaba016bcdb420 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 0.97 0.97
12f3574984ca7d989937c72e24e865f0 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 0.95 0.95
58798957a28732137930c07d9a785586 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 0.95 0.95 0.95 0.73 0.69
47ac5ca58a00fc3761fd3358993649ef Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 1.00
5bd88e9ba0c3ae343fe2b51f146a6d1c Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 1.00
4c69fd5ac021b36e5db9ac7d2b5ea19a Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.79
3f6521354707d39a6f17d19cad75b736 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.49
a7eef2d46c0ad37de7ae5c440566ee8a Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.88
45c5a7916e49820370fb85933091e41e Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 0.99 0.78
41608094d8749dbd720d9eed9219a29a Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.91
ea6a01d043b9ea33da7e7b1ef733edff Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.78
bc6ac5b3c77a60430109fbe096d284dc Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 1.00
313af54e8ed043351e53bf7ef9e520be Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.99
2b1f23ecc167e672f34464fc8fd6eae9 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.99
0eccab91fc13816ab29974200dc7b9ae Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.99
d2a3d83d2d110e659a6b1e82373a97e2 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 1.00
26f270e7009483f3751f4afe006a9928 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.89
c289114e0fea9a34c38134e0a26035fc Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.87
9f390639163c2dd4eb4fec477fdd75ae Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.95
7d61b0ae5350ae2c11ef4ed8c41b0a70 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.94
