APEVO1 APEVO10 APEVO11 APEVO12 APEVO13 APEVO14 APEVO15 APEVO16 APEVO17 APEVO18 APEVO2 APEVO24 APEVO25 APEVO26 APEVO28 APEVO29 APEVO3 APEVO31 APEVO32 APEVO33 APEVO34 APEVO35 APEVO36 APEVO37 APEVO4 APEVO43 APEVO44 APEVO5 APEVO55 APEVO56 APEVO6 APEVO60 APEVO61 APEVO63 APEVO68 APEVO69 APEVO71 APEVO8 APEVO9 EMR1 EMR10 EMR11 EMR12 EMR13 EMR14 EMR15 EMR16 EMR17 EMR18 EMR19 EMR2 EMR20 EMR21 EMR22 EMR23 EMR24 EMR25 EMR26 EMR27 EMR28 EMR29 EMR3 EMR30 EMR31 EMR32 EMR33 EMR34 EMR35 EMR36 EMR37 EMR38 EMR39 EMR4 EMR40 EMR41 EMR42 EMR43 EMR44 EMR45 EMR5 EMR6 EMR7 EMR8 W1D0 W1D140 W1D17 W1D269 W1D31 W1D4 W1D80 W2D140 W2D17 W2D269 W2D31 W2D4 W2D80 W3D0 W3D140 W3D17 W3D269 W3D31 W3D4 W3D80 W4D0 W4D140 W4D17 W4D269 W4D31 W4D4 W4D80 W5D0 W5D140 W5D17 W5D269 W5D31 W5D4 W5D80 W6D0 W6D140 W6D17 W6D31 W6D4 W6D80 W7D0 W7D140 W7D17 W7D269 W7D31 W7D4 W7D80 W8D0 W8D140 W8D17 W8D31 W8D4 W8D80
02bb9662aa72c434ec9b7ab39b443d40 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 5 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
53f35ea075eaadb8bb881ce05f819629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 6 4 1 1 1 1 1 0 0 0 9 0 4 0 0 0 0 2 0 0 0 1 0 9 0 0 0 0 14 1 0 0 6 0 5 0 0 0 0 0 13 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
607134bc2e1149b196ebfca3dfd07b8f 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 0 0 2 1 5 2 0 2 0 1 0 0 0 3 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9d37fe245efc42c50c29dbac979038d0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0
4d7789f90b7822ac60da8d8077973306 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 5 0 0 0 0 0 0 1 0 0 0 2 0 2 0 0 0 0 0 0 0 1 4 0 0 1 0 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
5e1dfd934eaf659d88875a810901d52a 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 5 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
2d335174d81df21c4e930986b14784d0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 2 1 28 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
c76c6b4a23a140b1a6cc1af561c09a33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 3 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 7 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12838e68f7f4fb6be646bd86d62b20dd 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
c01e401bcd4ce1604500264a3442232e 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
